ID,SMILES_chiral,SMARTS,Proportion,Counts,MW,HBA,HBD,LOGP,TPSA,RB
COCONUT_fragments_17,O=Cc1ccccc1,[#8]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.96,6464.0,106.041864812,1,0,1.4991,17.07,1
COCONUT_fragments_20,COc1ccccc1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.79,5331.0,108.057514876,1,0,1.6952,9.23,1
COCONUT_fragments_48,Oc1ccccc1O,[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8],0.35,2321.0,110.036779432,2,2,1.0978,40.46,0
COCONUT_fragments_50,Cc1ccc(O)cc1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,0.31,2084.0,108.057514876,1,1,1.7006199999999998,20.23,0
COCONUT_fragments_72,O=c1ccoc2cccc(O)c12,[#8]=[#6]1:[#6]:[#6]:[#8]:[#6]2:[#6]:[#6]:[#6]:[#6](-[#8]):[#6]:1:2,0.24,1589.0,162.031694052,3,1,1.4986,50.44,0
COCONUT_fragments_76,O=C1COc2ccccc21,[#8]=[#6]1-[#6]-[#8]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-1,0.23,1564.0,134.036779432,2,0,1.2616999999999998,26.3,0
COCONUT_fragments_78,COc1ccc(C)cc1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1,0.23,1559.0,122.07316494,1,0,2.00362,9.23,1
COCONUT_fragments_103,Cc1ccc(O)c(O)c1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6](-[#8]):[#6]:1,0.21,1395.0,124.052429496,2,2,1.4062199999999996,40.46,0
COCONUT_fragments_104,Clc1ccccc1,[#17]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.21,1395.0,112.00797784,0,0,2.34,0.0,0
COCONUT_fragments_124,O=CC=Cc1ccc(O)cc1,[#8]=[#6]-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,0.19,1286.0,148.052429496,2,1,1.6042999999999998,37.3,2
COCONUT_fragments_127,COc1ccccc1O,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8],0.19,1255.0,124.052429496,2,1,1.4008,29.46,1
COCONUT_fragments_128,O=c1ccc2ccccc2o1,[#8]=[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#8]:1,0.19,1253.0,146.036779432,2,0,1.793,30.21,0
COCONUT_fragments_130,CCc1ccccc1,[#6]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.18,1225.0,106.07825032,0,0,2.249000000000001,0.0,1
COCONUT_fragments_142,CC(C)C(N)C=O,[#6]-[#6](-[#6])-[#6](-[#7])-[#6]=[#8],0.17,1119.0,101.084063972,2,1,0.1685999999999999,43.09,2
COCONUT_fragments_146,COc1cc(C)ccc1O,[#6]-[#8]-[#6]1:[#6]:[#6](-[#6]):[#6]:[#6]:[#6]:1-[#8],0.16,1083.0,138.06807956,2,1,1.70922,29.46,1
COCONUT_fragments_153,O=CC=Cc1ccc(O)c(O)c1,[#8]=[#6]-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6](-[#8]):[#6]:1,0.16,1048.0,164.047344116,3,2,1.3098999999999998,57.53,2
COCONUT_fragments_154,O=c1ccoc2ccccc12,[#8]=[#6]1:[#6]:[#6]:[#8]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:1:2,0.16,1044.0,146.036779432,2,0,1.793,30.21,0
COCONUT_fragments_155,COc1ccc(C=O)cc1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6]=[#8]):[#6]:[#6]:1,0.16,1043.0,136.052429496,2,0,1.5076999999999998,26.3,2
COCONUT_fragments_160,CC(C)(C)OC=O,[#6]-[#6](-[#6])(-[#6])-[#8]-[#6]=[#8],0.15,1028.0,102.06807956,2,0,0.9579,26.3,1
COCONUT_fragments_170,O=c1cccc2n1C[C@@H]1CNCC2C1,[#8]=[#6]1:[#6]:[#6]:[#6]:[#6]2:[#7]:1-[#6]-[#6@@H]1-[#6]-[#7]-[#6]-[#6]-2-[#6]-1,0.15,1004.0,190.110613068,3,1,0.5549999999999999,34.03,0
COCONUT_fragments_180,NC(C=O)Cc1ccccc1,[#7]-[#6](-[#6]=[#8])-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.14,962.0,149.084063972,2,1,0.7552999999999994,43.09,3
COCONUT_fragments_182,COc1ccccc1OC,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8]-[#6],0.14,955.0,138.06807956,2,0,1.7038,18.46,2
COCONUT_fragments_184,O=c1cccc2n1C[C@H]1CNCC2C1,[#8]=[#6]1:[#6]:[#6]:[#6]:[#6]2:[#7]:1-[#6]-[#6@H]1-[#6]-[#7]-[#6]-[#6]-2-[#6]-1,0.14,953.0,190.110613068,3,1,0.5549999999999999,34.03,0
COCONUT_fragments_221,OCc1ccccc1,[#8]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.13,882.0,108.057514876,1,1,1.1789,20.23,1
COCONUT_fragments_234,CC(C)CC(N)C=O,[#6]-[#6](-[#6])-[#6]-[#6](-[#7])-[#6]=[#8],0.13,862.0,115.099714036,2,1,0.5587000000000001,43.09,3
COCONUT_fragments_255,O=C/C=C/c1ccccc1,[#8]=[#6]/[#6]=[#6]/[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.12,821.0,132.057514876,1,0,1.8987,17.07,2
COCONUT_fragments_272,COc1cc(C=CC=O)ccc1O,[#6]-[#8]-[#6]1:[#6]:[#6](-[#6]=[#6]-[#6]=[#8]):[#6]:[#6]:[#6]:1-[#8],0.12,782.0,178.06299418,3,1,1.6129,46.53,3
COCONUT_fragments_275,Cc1ccc2c(c1)OCO2,[#6]-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#8]-[#6]-[#8]-2,0.12,777.0,136.052429496,2,0,1.72372,18.46,0
COCONUT_fragments_284,CCC(C)C(N)C=O,[#6]-[#6]-[#6](-[#6])-[#6](-[#7])-[#6]=[#8],0.11,759.0,115.099714036,2,1,0.5587000000000001,43.09,3
COCONUT_fragments_287,O=Cc1cccnc1,[#8]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1,0.11,756.0,107.03711378,2,0,0.8940999999999999,29.96,1
COCONUT_fragments_295,O=C1COc2cc(O)ccc21,[#8]=[#6]1-[#6]-[#8]-[#6]2:[#6]:[#6](-[#8]):[#6]:[#6]:[#6]:2-1,0.11,725.0,150.031694052,3,1,0.9673,46.53,0
COCONUT_fragments_327,C[C@H]1OCC[C@@H](O)[C@@H]1O,[#6]-[#6@H]1-[#8]-[#6]-[#6]-[#6@@H](-[#8])-[#6@@H]-1-[#8],0.1,670.0,132.078644244,3,2,-0.483,49.69,0
COCONUT_fragments_340,O=CC1CCNCC1,[#8]=[#6]-[#6]1-[#6]-[#6]-[#7]-[#6]-[#6]-1,0.1,650.0,113.084063972,2,1,0.1848999999999999,29.1,1
COCONUT_fragments_341,COc1ccc(C)cc1OC,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1-[#8]-[#6],0.1,649.0,152.083729624,2,0,2.01222,18.46,2
COCONUT_fragments_345,c1ccc2c(c1)OCO2,[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#8]-[#6]-[#8]-2,0.1,643.0,122.036779432,2,0,1.4152999999999996,18.46,0
COCONUT_fragments_347,COc1cccc(C)c1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#6]):[#6]:1,0.1,639.0,122.07316494,1,0,2.00362,9.23,1
